date,Brazil,Canada,China,France,Germany,India,Italy,Japan,Mexico,South Korea,Spain,United Kingdom,US
20200122,0,0,548,0,0,0,0,2,0,1,0,0,1
20200123,0,0,643,0,0,0,0,2,0,1,0,0,1
20200124,0,0,920,2,0,0,0,2,0,2,0,0,2
20200125,0,0,1406,3,0,0,0,2,0,2,0,0,2
20200126,0,1,2075,3,0,0,0,4,0,3,0,0,5
20200127,0,1,2877,3,1,0,0,4,0,4,0,0,5
20200128,0,2,5509,4,4,0,0,7,0,4,0,0,5
20200129,0,2,6087,5,4,0,0,7,0,4,0,0,5
20200130,0,2,8141,5,4,1,0,11,0,4,0,0,5
20200131,0,4,9802,5,5,1,2,15,0,11,0,2,7
20200201,0,4,11891,6,8,1,2,20,0,12,1,2,8
20200202,0,4,16630,6,10,2,2,20,0,15,1,2,8
20200203,0,4,19716,6,12,3,2,20,0,15,1,8,11
20200204,0,4,23707,6,12,3,2,22,0,16,1,8,11
20200205,0,5,27440,6,12,3,2,23,0,19,1,9,11
20200206,0,5,30587,6,12,3,2,23,0,23,1,9,11
20200207,0,7,34110,6,13,3,3,23,0,24,1,9,11
20200208,0,7,36814,11,13,3,3,24,0,24,1,13,11
20200209,0,7,39829,11,14,3,3,24,0,25,2,14,11
20200210,0,7,42354,11,14,3,3,26,0,27,2,14,11
20200211,0,7,44386,11,16,3,3,27,0,28,2,15,12
20200212,0,7,44759,11,16,3,3,28,0,28,2,16,12
20200213,0,7,59895,11,16,3,3,33,0,28,2,17,13
20200214,0,7,66358,11,16,3,3,43,0,28,2,18,13
20200215,0,7,68413,12,16,3,3,54,0,28,2,18,13
20200216,0,7,70513,12,16,3,3,60,0,29,2,18,13
20200217,0,8,72434,12,16,3,3,67,0,30,2,19,13
20200218,0,8,74211,12,16,3,3,79,0,31,2,19,13
20200219,0,8,74619,12,16,3,3,85,0,31,2,20,13
20200220,0,8,75077,12,16,3,3,95,0,104,2,22,13
20200221,0,9,75550,12,16,3,20,112,0,204,2,23,15
20200222,0,9,77001,12,16,3,62,137,0,433,2,23,15
20200223,0,9,77022,12,16,3,155,149,0,602,2,28,15
20200224,0,10,77241,12,16,3,229,160,0,833,2,30,15
20200225,0,11,77754,14,17,3,322,173,0,977,6,34,15
20200226,1,11,78166,18,27,3,453,192,0,1261,13,37,15
20200227,1,13,78600,38,46,3,655,218,0,1766,15,44,16
20200228,1,14,78928,57,48,3,888,236,1,2337,32,56,16
20200229,2,20,79356,100,79,3,1128,245,4,3150,45,61,24
20200301,2,24,79932,130,130,3,1694,259,5,3736,84,94,30
20200302,2,27,80136,191,159,5,2036,278,5,4335,120,134,53
20200303,2,30,80261,204,196,5,2502,298,5,5186,165,189,73
20200304,4,33,80386,288,262,28,3089,333,5,5621,222,246,104
20200305,4,37,80537,380,482,30,3858,365,5,6088,259,295,174
20200306,13,49,80690,656,670,31,4636,420,6,6593,400,374,222
20200307,13,54,80770,959,799,34,5883,466,6,7041,500,429,337
20200308,20,64,80823,1136,1040,39,7375,499,7,7314,673,483,451
20200309,25,77,80860,1219,1176,43,9172,527,7,7478,1073,630,519
20200310,31,79,80887,1794,1457,56,10149,585,7,7513,1695,889,711
20200311,38,108,80921,2293,1908,62,12462,640,8,7755,2277,1301,1109
20200312,52,117,80932,2293,2078,73,15113,696,12,7869,2277,1790,1561
20200313,151,193,80945,3681,3675,82,17660,733,26,7979,5232,2270,2157
20200314,151,198,80977,4496,4585,102,21157,795,41,8086,6391,2634,2870
20200315,162,252,81003,4532,5795,113,24747,826,53,8162,7798,3077,2968
20200316,200,415,81033,6683,7272,119,27980,843,82,8236,9942,3692,4360
20200317,321,478,81058,7715,9257,142,31506,893,93,8320,11748,4462,6141
20200318,372,657,81102,9124,12327,156,35713,928,118,8413,13910,5467,8917
20200319,621,800,81156,10970,15320,194,41035,968,164,8565,17963,6533,14157
20200320,793,943,81250,12758,19848,244,47021,1022,203,8652,20410,7791,19479
20200321,1021,1277,81305,14463,22213,330,53578,1059,251,8799,25374,9006,25825
20200322,1546,1469,81435,16243,24873,396,59138,1104,316,8961,28768,10395,33761
20200323,1924,2088,81498,20123,29056,499,63927,1144,367,8961,35136,12744,43850
